Ticker,CIK,Title,CEO,Median,Ratio
ENB,895728,ENBRIDGE INC,3657210.0,121907,30:1
VRTX,875320,VERTEX PHARMACEUTICALS INC / MA,17132391.0,211511,81:1
HCA,860730,"HCA Healthcare, Inc.",17270448.0,55354,312:1
PGR,80661,PROGRESSIVE CORP/OH/,9289344.0,68304,136:1
EOG,821189,EOG RESOURCES INC,10513152.0,146016,72:1
SO,92122,SOUTHERN CO,15732000.0,138000,114:1
BDX,10795,BECTON DICKINSON & CO,14956002.0,44118,339:1
CSX,277948,CSX CORP,2664819.0,98697,27:1
TGT,27419,TARGET CORP,8397048.0,20581,408:1
APD,2969,"Air Products & Chemicals, Inc.",13919748.0,50802,274:1
MMM,66740,3M CO,20521512.0,63338,324:1
SLB,87347,SCHLUMBERGER LIMITED/NV,error,38893,
GD,40533,GENERAL DYNAMICS CORP,21486734.0,98563,218:1
ZTS,1555280,Zoetis Inc.,10539000.0,70260,150:1
ITW,49826,ILLINOIS TOOL WORKS INC,17109960.0,40738,420:1
WM,823768,WASTE MANAGEMENT INC,197304.12000000002,65988,2.99:1
MPC,1510295,Marathon Petroleum Corp,error,,935:1
AON,315293,Aon plc,14645764.0,67492,217:1
CL,21665,COLGATE PALMOLIVE CO,15338489.0,23929,641:1
BSX,885725,BOSTON SCIENTIFIC CORP,13057680.0,63696,205:1
FISV,798354,FISERV INC,10449955.0,69205,151:1
HUM,49071,HUMANA INC,19740440.0,57385,344:1
PNC,713676,"PNC FINANCIAL SERVICES GROUP, INC.",13907190.0,69190,201:1
SHW,89800,SHERWIN WILLIAMS CO,13510121.0,41827,323:1
LRCX,707549,LAM RESEARCH CORP,12833180.0,95770,134:1
USB,36104,US BANCORP \DE\,11945145.0,58269,205:1
ETN,1551182,Eaton Corp plc,15209622.0,71073,214:1
CME,1156375,CME GROUP INC.,error,,
NSC,702165,NORFOLK SOUTHERN CORP,11932830.0,91791,130:1
ASTI,1350102,"Ascent Solar Technologies, Inc.",error,,
EQIX,1101239,EQUINIX INC,12737815.0,119045,107:1
MET,1099219,METLIFE INC,14758800.0,73794,200:1
GOOGL,1652044,Alphabet Inc.,38917031076.0,197274,197274:1
ATVI,718877,"Activision Blizzard, Inc.",28659960.0,93660,306:1
KLAC,319201,KLA CORP,12396528.0,99972,124:1
OXY,797468,OCCIDENTAL PETROLEUM CORP /DE/,12710720.0,115552,110:1
MU,723125,MICRON TECHNOLOGY INC,14248080.0,56540,252:1
CCI,1051470,CROWN CASTLE INC.,9270894.0,106562,87:1
DG,29534,DOLLAR GENERAL CORP,8808646.0,13387,658:1
MCK,927653,MCKESSON CORP,18149010.0,38370,473:1
ICE,1571949,"Intercontinental Exchange, Inc.",14414940.0,135990,106:1
EMR,32604,EMERSON ELECTRIC CO,15636175.0,36791,425:1
FCX,831259,FREEPORT-MCMORAN INC,18417730.0,66490,277:1
TFC,92230,TRUIST FINANCIAL CORP,12682500.0,84550,150:1
ORLY,898173,O REILLY AUTOMOTIVE INC,error,20453,
CHTR,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",7802856.0,52722,148:1
PXD,1038357,PIONEER NATURAL RESOURCES CO,10926748.0,118769,92:1
MNST,865752,Monster Beverage Corp,12485888.0,48773,256:1
GM,1467858,General Motors Co,21973665.0,74487,295:1
GIS,40704,GENERAL MILLS INC,error,54828,
MCO,1059556,MOODYS CORP /DE/,11162404.0,59692,187:1
VMW,1124610,"VMWARE, INC.",206568.0,137712,1.5:1
ADM,7084,Archer-Daniels-Midland Co,15827220.0,57345,276:1
SNPS,883241,SYNOPSYS INC,error,,
SRE,1032208,SEMPRA ENERGY,18032514.0,134571,134:1
PSA,1393311,Public Storage,10044759.0,22881,439:1
MAR,1048286,MARRIOTT INTERNATIONAL INC /MD/,13310315.0,33697,395:1
AZO,866787,AUTOZONE INC,4214734.0,23546,179:1
KHC,1637459,Kraft Heinz Co,error,46006,
VLO,1035002,VALERO ENERGY CORP/TX,22561929.0,192837,117:1
AEP,4904,AMERICAN ELECTRIC POWER CO INC,11534568.0,113084,102:1
F,37996,FORD MOTOR CO,25018155.0,87783,285:1
HSY,47111,HERSHEY CO,10593048.0,28173,376:1
CNC,1071739,CENTENE CORP,error,10000,
D,715957,"DOMINION ENERGY, INC",15560622.0,142758,109:1
AIG,5272,"AMERICAN INTERNATIONAL GROUP, INC.",44737642.0,64186,697:1
APH,820313,AMPHENOL CORP /DE/,8159930.0,12179,670:1
SCCO,1001838,SOUTHERN COPPER CORP/,1244200.0,31105,40:1
CTAS,723254,CINTAS CORP,9795630.0,50234,195:1
EW,1099800,Edwards Lifesciences Corp,10791925.0,50195,215:1
KMB,55785,KIMBERLY CLARK CORP,16223512.0,48866,332:1
FDX,1048911,FEDEX CORP,3766563.0,11311,333:1
CDNS,813672,CADENCE DESIGN SYSTEMS INC,7922736.0,110038,72:1
TRV,86312,"TRAVELERS COMPANIES, INC.",15246616.0,99004,154:1
ROP,882835,ROPER TECHNOLOGIES INC,29220222.0,82543,354:1
AMZN,1018724,AMAZON COM INC,1678314.0,28446,59:1
PSX,1534701,Phillips 66,23596344.0,170988,138:1
A,1090872,"AGILENT TECHNOLOGIES, INC.",error,,
WDAY,1327811,"Workday, Inc.",9124053.0,178903,51:1
AFL,4977,AFLAC INC,22826700.0,76089,300:1
STZ,16918,"CONSTELLATION BRANDS, INC.",10823976.0,50111,216:1
MSI,68505,"Motorola Solutions, Inc.",error,,148:1
MELI,1099590,MERCADOLIBRE INC,12276682.0,23746,517:1
FIS,1136893,"Fidelity National Information Services, Inc.",29139624.0,44556,654:1
BIIB,875045,BIOGEN INC.,13699168.0,148904,92:1
LHX,202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",14028768.0,97422,144:1
PAYX,723531,PAYCHEX INC,6739170.0,54790,123:1
RSG,1060391,"REPUBLIC SERVICES, INC.",11534908.0,61684,187:1
LULU,1397187,lululemon athletica inc.,error,22218,
ADSK,769397,"Autodesk, Inc.",12342498.0,115892,106.5:1
ECL,31462,ECOLAB INC.,14412328.0,60556,238:1
HES,4447,HESS CORP,error,,90:1
CMG,1058090,CHIPOTLE MEXICAN GRILL INC,11055748.0,13582,814:1
EXC,1109357,EXELON CORP,14881352.0,117176,127:1
DVN,1090012,DEVON ENERGY CORP/DE,13480.000000000002,134.8,100:1
TT,1466258,Trane Technologies plc,18798525.0,56115,335:1
SYY,96021,SYSCO CORP,9085961.0,71543,127:1
MCHP,827054,MICROCHIP TECHNOLOGY INC,7902978.0,40737,194:1
ROST,745732,"ROSS STORES, INC.",error,9437,
KMI,1506307,"KINDER MORGAN, INC.",384603.9,103947,3.7:1
LNG,3570,"Cheniere Energy, Inc.",10899888.299999999,180761,60.3:1
WMB,107263,"WILLIAMS COMPANIES, INC.",10595080.0,124648,85:1
AJG,354190,Arthur J. Gallagher & Co.,7867566.0,62441,126:1
IQV,1478242,IQVIA HOLDINGS INC.,38022836.0,97997,388:1
MSCI,1408198,MSCI Inc.,2483292.0,59126,42:1
COF,927628,CAPITAL ONE FINANCIAL CORP,16191657.0,62037,261:1
SPG,1063761,SIMON PROPERTY GROUP INC /DE/,4740736.0,53872,88:1
NUE,73309,NUCOR CORP,12054455.0,90635,133:1
ANET,1596532,"Arista Networks, Inc.",8002400.0,160048,50:1
YUM,1041061,YUM BRANDS INC,12372738.0,9111,1358:1
XEL,72903,XCEL ENERGY INC,12708840.0,105907,120:1
ALL,899051,ALLSTATE CORP,18761790.0,81573,230:1
PRU,1137774,PRUDENTIAL FINANCIAL INC,27085956.0,101067,268:1
NEM,1164727,NEWMONT Corp /DE/,13794912.0,121008,114:1
PH,76334,PARKER HANNIFIN CORP,18214176.0,54048,337:1
HLT,1585689,Hilton Worldwide Holdings Inc.,18806256.0,33168,567:1
BK,1390777,Bank of New York Mellon Corp,19813380.0,55970,354:1
LVS,1300514,LAS VEGAS SANDS CORP,26076276.0,34908,747:1
PCG,1004980,PG&E Corp,8556043.0,140263,61:1
O,726728,REALTY INCOME CORP,10092896.0,114692,88:1
WCN,1318220,"Waste Connections, Inc.",5458232.0,52483,104:1
DD,1666700,"DuPont de Nemours, Inc.",13796125.0,78835,175:1
AMP,820027,AMERIPRISE FINANCIAL INC,23879286.0,107082,223:1
IDXX,874716,IDEXX LABORATORIES INC /DE,6679442.0,55202,121:1
EA,712515,ELECTRONIC ARTS INC.,35740656.0,96336,371:1
PCAR,75362,PACCAR INC,error,,
ODFL,878927,"OLD DOMINION FREIGHT LINE, INC.",7171642.0,67657,106:1
ABC,1140859,AMERISOURCEBERGEN CORP,error,,
WBA,1618921,"Walgreens Boots Alliance, Inc.",13542420.0,31132,435:1
CMI,26172,CUMMINS INC,16412550.0,59682,275:1
TDG,1260221,TransDigm Group INC,error,,
MTD,1037646,METTLER TOLEDO INTERNATIONAL INC/,7276996.0,40882,178:1
KR,56873,KROGER CO,11528025.0,21075,547:1
DLTR,935703,"DOLLAR TREE, INC.",7989165.0,10695,747:1
HAL,45012,HALLIBURTON CO,error,79636,
DHI,882184,HORTON D R INC /DE/,14860944.0,92304,161:1
KEYS,1601046,"Keysight Technologies, Inc.",error,,
AME,1037868,AMETEK INC/,7784496.0,54059,144:1
ILMN,1110803,"ILLUMINA, INC.",8851120.0,102920,86:1
NLY,1043219,ANNALY CAPITAL MANAGEMENT INC,error,229408,
CSGP,1057352,"COSTAR GROUP, INC.",10639419.0,72377,147:1
BF-B,14693,BROWN FORMAN CORP,8841030.0,60555,146:1
RMD,943819,RESMED INC,9108750.0,60725,150:1
SBAC,1034054,SBA COMMUNICATIONS CORP,8183370.0,62949,130:1
WEC,783325,"WEC ENERGY GROUP, INC.",13585199.0,120223,113:1
DELL,1571996,Dell Technologies Inc.,2743587.0,83139,33:1
PEG,788784,PUBLIC SERVICE ENTERPRISE GROUP INC,10598400.0,132480,80:1
PPG,79879,PPG INDUSTRIES INC,14251274.0,37307,382:1
CTSH,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,4415724.0,31998,138:1
ROK,1024478,"ROCKWELL AUTOMATION, INC",9215488.0,56192,164:1
HPQ,47217,HP INC,error,725000,
SQ,1512673,"Block, Inc.",15.226500000000001,152265,0.0001:1
DLR,1297996,"DIGITAL REALTY TRUST, INC.",10400068.0,136843,76:1
GWW,277135,"W.W. GRAINGER, INC.",7184201.0,63577,113:1
OKE,1039684,ONEOK INC /NEW/,5609891.0,105847,53:1
ES,72741,EVERSOURCE ENERGY,15869793.0,124959,127:1
STT,93751,STATE STREET CORP,19538738.0,85322,229:1
DFS,1393612,Discover Financial Services,10257015.0,48155,213:1
ALB,915913,ALBEMARLE CORP,8330436.0,73074,114:1
ALNY,1178670,"ALNYLAM PHARMACEUTICALS, INC.",error,,7:1
VRSK,1442145,"Verisk Analytics, Inc.",7083945.0,71555,99:1
ON,1097864,ON SEMICONDUCTOR CORP,10726020.0,11035,972:1
WELL,766704,WELLTOWER INC.,10545328.0,90908,116:1
LEN,920760,LENNAR CORP /NEW/,error,,
IT,749251,GARTNER INC,11904724.0,126646,94:1
AWK,1410636,"American Water Works Company, Inc.",4345947.0,81999,53:1
GLW,24741,CORNING INC /NY,error,,356:1
FAST,815556,FASTENAL CO,2028086.0,34967,58:1
GPN,1123360,GLOBAL PAYMENTS INC,9178275.0,57725,159:1
LYB,1489393,LyondellBasell Industries N.V.,17627744.0,111568,158:1
IFF,51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,7746438.0,61140,126.7:1
ZBH,1136869,"ZIMMER BIOMET HOLDINGS, INC.",5393199.2,61496,87.7:1
VEEV,1393052,VEEVA SYSTEMS INC,88173300.0,94810,930:1
EBAY,1065088,EBAY INC,17696304.0,122891,144:1
HZNP,1492426,Horizon Therapeutics Public Ltd Co,2362685.0,181745,13:1
URI,1067701,"UNITED RENTALS, INC.",12803082.0,77127,166:1
CBRE,1138118,"CBRE GROUP, INC.",8595450.0,57303,150:1
TROW,1113169,PRICE T ROWE GROUP INC,11638990.0,96190,121:1
APTV,1521332,Aptiv PLC,13802064.0,5464,2526:1
HIG,874766,"HARTFORD FINANCIAL SERVICES GROUP, INC.",13136695.0,91865,143:1
GPC,40987,GENUINE PARTS CO,4922685.0,35415,139:1
BAX,10456,BAXTER INTERNATIONAL INC,14912840.0,42008,355:1
HRL,48465,HORMEL FOODS CORP /DE/,6340257.0,43131,147:1
EIX,827052,EDISON INTERNATIONAL,9740944.0,157112,62:1
BKR,1701605,Baker Hughes Co,14334736.0,68917,208:1
CDW,1402057,CDW Corp,error,85701,
ULTA,1403568,"Ulta Beauty, Inc.",1100550.0,4002,275:1
K,55067,KELLOGG CO,52788546.0,288462,183:1
YUMC,1673358,"Yum China Holdings, Inc.",9569928.0,3396,2818:1
TSCO,916365,TRACTOR SUPPLY CO /DE/,6702024.0,24108,278:1
SIRI,908937,SIRIUS XM HOLDINGS INC.,9646644.0,114841,84:1
SGEN,1060736,Seagen Inc.,8609479.0,162443,53:1
VMC,1396009,Vulcan Materials CO,7229164.0,76906,94:1
WY,106535,WEYERHAEUSER CO,11459843.0,75893,151:1
EFX,33185,EQUIFAX INC,3945175.0,60695,65:1
FE,1031296,FIRSTENERGY CORP,15326910.0,170299,90:1
AVB,915912,AVALONBAY COMMUNITIES INC,error,60332,
ETR,65984,ENTERGY CORP /DE/,13149300.0,124050,106:1
FTV,1659166,Fortive Corp,11395899.0,53805,211.8:1
EQR,906107,EQUITY RESIDENTIAL,84486463.0,559513,151:1
AEE,1002910,AMEREN CORP,8052198.0,122003,66:1
ACGL,947484,ARCH CAPITAL GROUP LTD.,12848368.0,123542,104:1
PFG,1126328,PRINCIPAL FINANCIAL GROUP INC,11942245.0,100355,119:1
ARE,1035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",error,142000,
TSN,100493,"TYSON FOODS, INC.",9489664.0,37069,256:1
DTE,936340,DTE ENERGY CO,9210656.0,101216,91:1
CAH,721371,CARDINAL HEALTH INC,11366914.0,51434,221:1
VRSN,1014473,VERISIGN INC/CA,8923980.0,171615,52:1
LUV,92380,SOUTHWEST AIRLINES CO,7557578.699999999,81177,93.1:1
RJF,720005,RAYMOND JAMES FINANCIAL INC,error,,
PPL,922224,PPL Corp,13587600.0,104520,130:1
LH,920148,LABORATORY CORP OF AMERICA HOLDINGS,11650520.0,41609,280:1
MLM,916076,MARTIN MARIETTA MATERIALS INC,9009918.0,68778,131:1
FITB,35527,FIFTH THIRD BANCORP,8711310.0,60078,145:1
MRO,101778,MARATHON OIL CORP,10142440.0,131720,77:1
DAL,27904,"DELTA AIR LINES, INC.",13250872.0,93316,142:1
ANSS,1013462,ANSYS INC,10246698.0,133074,77:1
VICI,1705696,VICI PROPERTIES INC.,error,,
QSR,1618756,Restaurant Brands International Inc.,4141925.16,20504.58,202:1
WAT,1000697,WATERS CORP /DE/,7569600.0,75696,100:1
PODD,1145197,INSULET CORP,8151940.0,94790,86:1
PWR,1050915,"QUANTA SERVICES, INC.",8764264.0,75554,116:1
CF,1324404,"CF Industries Holdings, Inc.",9442371.0,108533,87:1
HPE,1645590,Hewlett Packard Enterprise Co,error,,
CTRA,858470,Coterra Energy Inc.,12370233.0,75891,163:1
HBAN,49196,HUNTINGTON BANCSHARES INC /MD/,error,,145:1
STLD,1022671,STEEL DYNAMICS INC,8807330.0,93695,94:1
CHD,313927,CHURCH & DWIGHT CO INC /DE/,error,,98:1
EXR,1289490,Extra Space Storage Inc.,error,36117,
BMRN,1048477,BIOMARIN PHARMACEUTICAL INC,15975960.0,140140,114:1
XYL,1524472,Xylem Inc.,7730898.0,51198,151:1
RF,1281761,REGIONS FINANCIAL CORP,12761148.0,63174,202:1
MOH,1179929,"MOLINA HEALTHCARE, INC.",20878650.0,46397,450:1
HEI,46619,HEICO CORP,error,,
DOV,29905,DOVER Corp,9940491.0,41943,237:1
BBY,764478,BEST BUY CO INC,16762020.0,23980,699:1
AES,874761,AES CORP,9353510.0,49229,190:1
EPAM,1352010,"EPAM Systems, Inc.",3076024.0,23128,133:1
JBHT,728535,HUNT J B TRANSPORT SERVICES INC,860760.0,57384,15:1
PAYC,1590955,"Paycom Software, Inc.",9400963.0,65741,143:1
WAB,943452,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,3476991.0,37387,93:1
HOLX,859737,HOLOGIC INC,error,,
TDY,1094285,TELEDYNE TECHNOLOGIES INC,8192085.0,62535,131:1
EXPD,746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,6301372.0,40918,154:1
DGX,1022079,QUEST DIAGNOSTICS INC,10361710.0,48194,215:1
CAG,23217,CONAGRA BRANDS INC.,10481470.0,36143,290:1
SYF,1601712,Synchrony Financial,13519962.0,45369,298:1
DRI,940944,DARDEN RESTAURANTS INC,15762487.0,18097,871:1
MAA,912595,MID AMERICA APARTMENT COMMUNITIES INC.,6509318.0,48577,134:1
INVH,1687229,Invitation Homes Inc.,error,,
INCY,879169,INCYTE CORP,16192960.0,253015,64:1
ROL,84839,ROLLINS INC,4326851.1,83369,51.9:1
NTRS,73124,NORTHERN TRUST CORP,11834901.0,70029,169:1
MTB,36270,M&T BANK CORP,4145112.0,57571,72:1
CMS,811156,CMS ENERGY CORP,6856312.399999999,167636,40.9:1
VTR,740260,"Ventas, Inc.",25259550.0,88630,285:1
CLX,21076,CLOROX CO /DE/,8162476.0,61372,133:1
GRMN,1121788,GARMIN LTD,6528476.0,85901,76:1
PKI,31791,PERKINELMER INC,11355000.0,56775,200:1
IEX,832101,IDEX CORP /DE/,8044296.0,58292,138:1
ABMD,815094,ABIOMED INC,10304616.0,122674,84:1
UI,1511737,Ubiquiti Inc.,0.0,57000,0:1
MPWR,1280452,MONOLITHIC POWER SYSTEMS INC,error,25814,
SEDG,1419612,"SOLAREDGE TECHNOLOGIES, INC.",3330180.4,99706,33.4:1
SJM,91419,J M SMUCKER Co,6741038.0,75742,89:1
MOS,1285785,MOSAIC CO,8346448.0,88792,94:1
NVR,906163,NVR INC,3526497.0,69147,51:1
WST,105770,WEST PHARMACEUTICAL SERVICES INC,4768782.0,42962,111:1
MGM,789570,MGM Resorts International,14566860.0,36785,396:1
LPLA,1397911,LPL Financial Holdings Inc.,7426150.0,78170,95:1
SUI,912593,SUN COMMUNITIES INC,10985040.0,20805,528:1
FSLR,1274494,"FIRST SOLAR, INC.",10708432.0,116396,92:1
CINF,20286,CINCINNATI FINANCIAL CORP,4976432.1,91647,54.3:1
OMC,29989,OMNICOM GROUP INC.,23977258.8,40230.30,596:1
CFG,759944,CITIZENS FINANCIAL GROUP INC/RI,8543290.0,55118,155:1
HWM,4281,Howmet Aerospace Inc.,5015328.0,52243,96:1
AGR,1634997,"Avangrid, Inc.",2562777.0,122037,21:1
FDS,1013237,FACTSET RESEARCH SYSTEMS INC,3127524.0,15331,204:1
FICO,814547,FAIR ISAAC CORP,error,,
TRGP,1389170,Targa Resources Corp.,5366764.0,103207,52:1
ETSY,1370637,ETSY INC,21322400.0,121150,176:1
FMC,37785,FMC CORP,12995460.0,50370,258:1
BRO,79282,"BROWN & BROWN, INC.",4603234.0,63058,73:1
ALGN,1097149,ALIGN TECHNOLOGY INC,11742880.0,12764,920:1
LYV,1335258,"Live Nation Entertainment, Inc.",70606558.0,24406,2893:1
BR,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",11221704.0,65624,171:1
KEY,91576,KEYCORP /NEW/,8127250.0,68875,118:1
TXT,217346,TEXTRON INC,error,,165:1
J,52988,JACOBS SOLUTIONS INC.,13014986.0,82898,157:1
LKQ,1065696,LKQ CORP,4366305.0,32343,135:1
ATO,731802,ATMOS ENERGY CORP,10930275.0,80965,135:1
IRM,1020569,IRON MOUNTAIN INC,9998496.0,34717,288:1
PANW,1327567,Palo Alto Networks Inc,64000.0,1000,64:1
WPC,1025378,W. P. Carey Inc.,error,121219,
AVY,8818,Avery Dennison Corp,8963936.0,12016,746:1
FLT,1175454,FLEETCOR TECHNOLOGIES INC,52639900.0,34700,1517:1
LDOS,1336920,"Leidos Holdings, Inc.",9245688.0,99416,93:1
TER,97210,"TERADYNE, INC",150708.0,1983,76:1
LSXMA,1560385,Liberty Media Corp,error,,223:1
CPRT,900075,COPART INC,202983.0,36906,5.5:1
L,60086,LOEWS CORP,6544944.0,77916,84:1
EQT,33213,EQT Corp,8300070.0,102470,81:1
HUBS,1404655,HUBSPOT INC,3150000.0,105000,30:1
BAH,1443646,Booz Allen Hamilton Holding Corp,4883340.0,110985,44:1
SPLK,1353283,SPLUNK INC,9229320.0,256370,36:1
ESS,920522,"ESSEX PROPERTY TRUST, INC.",4656190.0,60470,77:1
IP,51434,INTERNATIONAL PAPER CO /NEW/,19481230.0,84701,230:1
NDSN,72331,NORDSON CORP,error,,
LNT,352541,ALLIANT ENERGY CORP,error,120296,
RCL,884887,ROYAL CARIBBEAN CRUISES LTD,13336960.0,18320,728:1
PEAK,765880,"HEALTHPEAK PROPERTIES, INC.",7243040.0,181076,40:1
BG,1144519,BUNGELTD,13085014.0,33899,386:1
NTAP,1002047,"NetApp, Inc.",12912294.0,157467,82:1
AKAM,1086222,AKAMAI TECHNOLOGIES INC,9194724.0,109461,84:1
EXPE,1324424,"Expedia Group, Inc.",30900976.0,71696,431:1
ZBRA,877212,ZEBRA TECHNOLOGIES CORP,7818690.0,71079,110:1
CBOE,1374310,"Cboe Global Markets, Inc.",10123120.0,144616,70:1
WLK,1262823,WESTLAKE CORP,error,82397,
FHN,36966,FIRST HORIZON CORP,error,81836,
JKHY,779152,HENRY JACK & ASSOCIATES INC,3905412.0,68516,57:1
TYL,860731,TYLER TECHNOLOGIES INC,error,82039,
KIM,879101,KIMCO REALTY CORP,5542712.0,98977,56:1
DPZ,1286681,DOMINOS PIZZA INC,7941186.0,17226,461:1
BLDR,1316835,"Builders FirstSource, Inc.",3771609.0,54661,69:1
GLPI,1575965,"Gaming & Leisure Properties, Inc.",11055597.0,26769,413:1
RPM,110621,RPM INTERNATIONAL INC/DE/,5052690.0,54330,93:1
BEN,38777,FRANKLIN RESOURCES INC,9450458.0,60194,157:1
SSNC,1402436,SS&C Technologies Holdings Inc,8842680.0,73689,120:1
