Ticker,CIK,Title,CEO,Median,Ratio,Median Source,Ratio Source
LLY,59478,ELI LILLY & Co,2118380.0,96290,221,"tal annual compensation in accordance with the requirements of the Summary Compensation Table.Our median employee compensation as calculated using Summary Compensation Table requirements was $96,290.&"," Compensation Table was $21,283,242.&#160;Therefore, our CEO to median employee pay ratio is 221:1.&"
MA,1141391,Mastercard Inc,2210272.0,138142,168,"employees, except our CEO.For 2019, the annual total compensation of our identified median employee (that is, the median employee across all employees of the company other than the CEO) was $138,142, ","s reported in the Summary Compensation Table was $23,249,977. Accordingly, for 2019, the ratio of the compensation of our CEO to the compensation for our median employee was estimated to be 168 to 1.C"
HD,354950,"HOME DEPOT, INC.",,22652,,"&#8226;The annual total compensation of our median-paid associate, other than our CEO, was $22,652. ",
CVX,93410,CHEVRON CORP,3221451.3000000003,140063.1,236," $33,070,662 by the 2019 annual total compensation of our median compensated employee of $140,063.1 ",ent&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;67Table of Contents CEO pay ratio The ratio of the annual total compensation for the CEO to the annual total compensation of our median compensated employee was 236:1 
PFE,78003,PFIZER INC,1781496.0,98972,181,"he annual total compensation of the median-paid employee whose 2019 total compensation was $98,972.T","he median-paid employee identified in respect of the 2018 Proxy Statement hasexited the company.&nbsp;The 2019 annual total compensation for Dr. Bourla was $17,928,963,which is approximately 181 times"
ABBV,1551152,AbbVie Inc.,2026505.0,155885,139,"9,the annual total compensation of our median employee (other than Mr.&nbsp;Gonzalez) was $155,885. ","lated in a manner consistent with Regulation&nbsp;S-K Item&nbsp;402(u). The ratio of Mr.&nbsp;Gonzalez's annualtotal compensation for 2019, as reported in the Summary Compensation Table in this proxy statement, to the median employee annual total compensation determined on the same basis was 139:1. "
MRK,310158,"Merck & Co., Inc.",2677388.0,95621,289,"TOTAL&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;3,703&nbsp; The Ratio  The mediantotal annual compensation as calculated under the Summary Compensation Table requirements was $95,621 ","total annual compensation for our CEO was $27,648,475. A reasonable estimation of the ratio of our CEO&#146;s compensation to our median compensation including the change in pension value is 289 to 1;"
KO,21344,COCA COLA CO,1862025.0,11285,1657,"y of which are located in Africa.For 2019, the median annual total compensation of all employees of the Company and its consolidated subsidiaries (other than the Chief Executive Officer) was $11,285. ","1,149. Based on this information, for 2019, the ratio of the compensation of the Chief Executive Officer to the median annual total compensation of all other employees was estimated to be 1,657 to 1.T"
BAC,70858,BANK OF AMERICA CORP /DE/,2544912.0,94256,276,"al Compensation* &nbsp; $26,049,804 &nbsp; Median Employee Annual Total Compensation &nbsp; $94,256 ","loyee Annual Total Compensation &nbsp; $94,256 &nbsp; CEO to Median Employee Pay Ratio &nbsp; 276:1 "
PEP,77476,PEPSICO INC,1652256.0,45896,368," with applicable SEC rules.   &#9632;   The median employee&#8217;s total compensation was $45,896. ","&#8217;s compensation was $16,870,817.Based on this information, the ratio of Mr. Laguarta&#8217;s annual total compensation to the median employee compensation for 2019 was estimated to be 368 to 1.S"
AVGO,1730168,Broadcom Inc.,,354119,7,"1;, is $2,366,888 and the annual total compensation of our median compensated employee is $354,119. "," the annual total compensation of our median compensated employee is $354,119. The Ratio is 7 to 1.I"
ORCL,1341439,ORACLE CORP,87402.0,87402,11," Ms.&nbsp;Catz was $964,055. The fiscal 2020 total compensation of our median employee was $87,402. ","mployee). For fiscal 2020, our ratio of CEO to median employee annual total compensation is 11 to1. "
TMO,97745,THERMO FISHER SCIENTIFIC INC.,1861045.0,80915,235,"ar. The annual total compensation of our median employee (other than the CEO) for 2019 was $80,915. ","                   Compensation Table appearing on page 56, our CEO&#8217;s annual total compensation for 2019 was $19,023,145. Based on the foregoing, our estimate of our CEO pay ratio was 235 to 1. "
COST,909832,COSTCO WHOLESALE CORP /NEW,,39585,," fiscal 2020, the median employee in the considered population had a total compensation of $39,585. ",
CSCO,858877,"CISCO SYSTEMS, INC.",2290248.0,127236,182,"s. As determined in accordance with SEC rules, the fiscal 2020 annual total compensation was $23,163,710 for our CEO as reportedin the Summary Compensation Table and $127,236 for our median employee, ","s, the fiscal 2020 annual total compensation was $23,163,710 for our CEO as reportedin the Summary Compensation Table and $127,236 for our median employee, and the ratio of these amounts is 182 to 1. "
MCD,63908,MCDONALDS CORP,1793163.0,9291,1939,"not exclude employees or make any adjustments to compensation. Our median employee for 2019 (a part-time restaurant crew employee located in the United Kingdom) had 2019 total compensation of $9,291. ","n method, the CEO&#8217;s 2019 total compensation was $18,012,549, resulting in a ratio of 1,939:1.M"
DHR,313616,DANAHER CORP /DE/,1792128.0,74672,244,"l total compensation of the median of all Danaher employees (other than Mr.&nbsp;Joyce) was $74,672;","nbsp;Joyce) was $74,672; and &nbsp;&#149;&nbsp; the ratio of the annual total compensation of Mr.&nbsp;Joyce to the annual total compensation of the median of all otherCompany employees was 244 to 1. "
ABT,1800,ABBOTT LABORATORIES,2701888.0,84434,329,"n for the median employee and CEO. Theannual total compensation of our median employee was $84,434, ","EO. Theannual total compensation of our median employee was $84,434, resulting in a ratio of 329:1. "
TMUS,1283699,"T-Mobile US, Inc.",2736580.0,62195,446,"compensation of Mr.&nbsp;Legere, our Chief Executive Officer.We have calculated the median of our employees&#146; 2019 total annual compensation (excluding our Chief Executive Officer) to be $62,195. ","31. As a result, the estimated ratio of the total compensation of Mr.&nbsp;Legere to the median of the annual total compensation ofour employees (other than the Chief Executive Officer) was 446 to 1. "
LIN,1707925,LINDE PLC,2247232.0,43216,520,"at the Pay Ratio.&nbsp;&nbsp;The median employee&#8217;s 2019 annual total compensation was $43,216 ","EO&#8217;s 2019 annual total compensation was $22,475,878 resulting in a ratio of the CEO&#8217;s annual total compensation to the median employee&#8217;s annual total compensation for 2019 of 520:1.S"
NKE,320187,"NIKE, Inc.",5431406.0,28142,1935,"loyee in the United States; &#8226;The annual total compensation of the median employee was $28,142;","of our CEO, Mr. Donahoe, was $54,451,903; and &#8226;The estimated ratio of the annual total compensation of our CEO to the median annual total compensation of all other NIKE employees was 1935 to 1.T"
ACN,1467373,Accenture plc,1711760.0,42794,402,"ied median employee is located in India, with annual total compensation for fiscal 2020 of $42,794. ","to the annual total compensation of our chief executiveofficer of $17,184,847, our pay ratio was 402:1. Without the cost-of-living adjustment, the identified median employee is also located in India, "
NEE,753308,NEXTERA ENERGY INC,2075760.0,129735,168,"nnual compensation was 168 to 1. The median employee&#146;s annual total compensation was $129,735. ","2019, NextEra Energy&#146;s last completed fiscal year, the ratio of the totalcompensation of Mr.&nbsp;Robo, the PEO, to NextEra Energy&#146;s median employee&#146;s annual compensation was 168 to 1. "
WFC,72971,WELLS FARGO & COMPANY/MN,3626205.0,65931,550,"ated annual total compensation of the median Wells Fargo employee (other than our CEO) was $65,931. ","er than our CEO) was $65,931. We estimatethat our CEO&#146;s total annual compensation was 550 times"
BMY,14272,BRISTOL MYERS SQUIBB CO,1850475.0,123365,152," We estimate that the median employee&#8217;s 2019 total compensation, as            determined in the same manner as &#8220;Total Compensation&#8221; in The Summary Compensation Table, was $123,365. ",ch was            152:1 times that of the median of the annual total compensation of all employees. 
CMCSA,1166691,COMCAST CORP,3627974.0,78869,461,"w ($36,384,957), by $78,869, which represents the annual total compensation of our median employee. ","ve putting into context how our median employee was identified highlights why thatemployee&#146;s compensation and the resulting pay ratio, and year-over-year changes thereto, should not be compared on an &#147;apples-to-apples&#148; basis. We have estimated that our pay ratio for 2019 is 461 to 1, "
ADBE,796343,ADOBE INC.,3824990.0,147115,266," $39,145,631&#32;and the annual total compensation of our median compensated employee was $147,115, ","631&#32;and the annual total compensation of our median compensated employee was $147,115, based on the methodology presented in the Summary Compensation Table.  This resulted in a ratio of 266 to 1. "
TXN,97476,TEXAS INSTRUMENTS INC,1804748.0,82034,227,"by the number of shares under such options as of December&nbsp;31, 2019. Pay ratio  For 2019, the median of annual totalcompensation of all employees of our company (other than our CEO), was $82,034. ","of our CEO was $18,655,972. Based on this information, the ratio of the annual total compensation of our CEO to the median of the annualtotal compensation of all employees was approximately 227 to 1. "
PM,1413329,Philip Morris International Inc.,746226.0,19134,396,"djustment, our median employee&#146;s total 2019 compensation wouldhave been approximately $19,134. ","djusted compensation to the total compensation of our CEO in 2019, our adjusted pay ratio is 396:1.("
MS,895421,MORGAN STANLEY,3057936.0,127414,248,"omparable to the ratio reported by the Company.  For 2019, our lastcompleted fiscal year, the median of the annual total compensation of all employees of the Company (other than the CEO) was $127,414 ",",642,395. Based on this information, for 2019, the ratio of the annual total compensation of the CEO to the median of the annual total compensation of all other employees of the Company was 248 to 1. "
VZ,732712,VERIZON COMMUNICATIONS INC,1198730.0,119873,105,"al total compensation, the median employee&#146;sannual total compensation would have been $119,873 "," of Mr.&nbsp;Vestberg was $18,111,823, the median of the 2019 annual total compensation of all of our employees (excludingMr.&nbsp;Vestberg) was $172,971, and the ratio of these amounts was 105 to 1. "
UPS,1090727,UNITED PARCEL SERVICE INC,1785480.0,74395,243," median employee.&nbsp;The annual total compensation of the mediancompensated employee, was $74,395;"," CEO&rsquo;s annual total compensation was $18,040,841, and the ratio of these amounts was243-to-one"
TSLA,1318605,"Tesla, Inc.",23382.0,58455,0.41,"ummary Compensation Table,&#8221; was $23,760, and the median 2019 annual total compensation of all other qualifying employees, as determined pursuant to the methodology set forth below, was $58,455. ","was $58,455. Consequently, the applicable ratio of such amounts for 2019 was 0.41:1.Our methodology for identifying the median of the 2019 annual total compensation for each individual other than Mr. "
AMGN,318154,AMGEN INC,1963560.0,130904,150,"e then determined the annual total compensation of our median employee for 2019 which was $130,904. ", ratio of the annual total compensation of our CEO to that of the median staff member was 150 to 1. 
SCHW,316709,SCHWAB CHARLES CORP,1583475.0,105565,153,"f the median employee, calculated in accordance with Summary Compensation Table rules, was $105,565;"," in the Summary Compensation Table, was $16,101,141; and &nbsp;&#183;&nbsp; the ratio of the annual total compensation of the CEO to the annual total compensation of the median employee was 153 to 1. "
RTX,101829,RAYTHEON TECHNOLOGIES CORP,2139676.0,76417,282," such as Company contributions to healthcare and retirement plans.ResultsThe 2019 total annual compensation value for Mr. Hayes was $21,538,847 and for UTC&#8217;s global median employee was $76,417, ","to healthcare and retirement plans.ResultsThe 2019 total annual compensation value for Mr. Hayes was $21,538,847 and for UTC&#8217;s global median employee was $76,417, resulting in a ratio of 282:1.W"
COP,1163165,CONOCOPHILLIPS,2981344.0,186334,163,"er than the CEO, as represented by the annual total compensation of a medianemployee, was $186,334. ","and the resulting CEOpay ratio.&nbsp;The ratio of pay of the CEO compared to that of the median employeewas approximately 163 to one in 2019. The annual total compensation of the CEO was $30,381,543. "
HON,773840,HONEYWELL INTERNATIONAL INC,2015877.0,69513,295,"he annual total compensation of the median employee of our Company (other than our CEO) was $69,513;","d on this information, for 2019, the ratio of the annual total compensation of Mr.&nbsp;Adamczyk, our CEO, to the median of the annual totalcompensation of all employees was estimated to be 295 to 1. "
LOW,60667,LOWES COMPANIES INC,1160148.0,22748,511,"9. The total compensation for 2019 for our median employee, excluding Mr.&nbsp;Ellison, was $22,748 ","nce with the SEC rules). Based on thisinformation, for fiscal 2019, the ratio of the annual total compensation of Mr.&nbsp;Ellison to the annual total compensation of our median employee is 511 to 1. "
UNP,100885,UNION PACIFIC CORP,1430028.0,79446,189,"     TABLE OF CONTENTS                  Pay Ratio Disclosure        The median 2019 annual total compensation of all our employees who were employed as of December&#160;31, 2019 was          $79,446. ","r&#160;31, 2019 was          $79,446. The 2019 annual total compensation of Lance M. Fritz, our Chief Executive Officer (CEO), was $15,018,400. The resulting CEO pay ratio of these amounts was 189:1. "
LMT,936468,LOCKHEED MARTIN CORP,3097660.0,154883,200,"n page 56. The total annual compensation for the median employee for fiscal year 2019 was $154,883, ","ion of its CEO, and the ratio of the CEO compensation to the employee median compensation. The ratio of CEO pay to the pay of the Corporation&#8217;s median employee for fiscal year 2019 is 200 to one"
DE,315189,DEERE & CO,2167209.0,80267,270,"mpensation Table. The annual total compensation of our median employee for fiscal 2019 was $80,267. ","ry Compensation Table was $21,697,885. Calculated in this manner, the ratio of the CEO&#8217;s total compensation to our median employee&#8217;s total compensation for fiscal 2019 was about 270 to 1. "
T,732717,AT&T INC.,2874420.0,95814,304,"tatement, the median of the annual total compensation of all employees (except the CEO) is $95,814, ","is $95,814, the annual total compensation of the CEO is $29,118,118, and the CEO pay ratio is 304:1 "
NFLX,1065280,NETFLIX INC,3855689.0,202931,190,"al compensation asdetermined under Item 402 of Regulation S-K for our median employee was $202,931. ","ee was $202,931. Based on the foregoing, our estimate of the ratio of our CEO&#146;s annual total compensation to our median employee&#146;sannual total compensation for fiscal year 2019 is 190 to 1. "
QCOM,804328,QUALCOMM INC/DE,2256475.0,90259,256," statement, was$23,065,052; &#149; the annual total compensation of our median employee was $90,259;"," total compensation of our median employee was $90,259; and &#149; the resulting ratio was 256 : 1. "
CRM,1108524,"Salesforce, Inc.",,167750,,"The fiscal 2020 total compensation of the median employee, based on the compensation of all employees who were employed asof November&nbsp;1, 2019, other than our CEO and Former Co-CEO, was $167,750. ",
CVS,64803,CVS HEALTH Corp,3645060.0,46140,790,"determined to be a full-time employee. The annual compensation for our median employee was $46,140, ",ratio of Mr. Merlo&#8217;s annual compensation to that of our median employee for 2019 is 790-to-1.G
CAT,18230,CATERPILLAR INC,1823696.0,65132,283,"median annual total compensation of all Caterpillar employees, other than Mr. Umpleby, was $65,132.&","rsquo;s total compensation, the CEO to median employee pay ratio for 2019 would have been 283 to 1.&"
IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP,1991360.0,56896,354,"f the median employee&#146;s annual total compensation is 354:1. This ratio is based on annual totalcompensation of $20,160,865 for the CEO (as reported in the Summary Compensation Table) and $56,896 ", Narrative for details on these types of awards.&nbsp; &nbsp; Pay Ratio The ratio of the CEO&#146;s annual total compensation to that of the median employee&#146;s annual total compensation is 354:1. 
GS,886982,GOLDMAN SACHS GROUP INC,2360518.0,138854,178," that the Median Compensation Amount(calculated in accordance with SEC rules) for 2019 is $138,854. ","57,737, and theratio between this amount and the Median Compensation Amount is approximately 178:1. "
AXP,4962,AMERICAN EXPRESS CO,2332908.0,64803,367," equivalent annual total compensation for the identified median compensated employee being $64,803. ","sp;$72.70&nbsp;&nbsp;&nbsp;&nbsp;9,497,564&nbsp; Pay Ratio Our CEO to median compensated employee pay ratio is 367:1, with the 2019 Summary Compensation Table annual total compensation amount for Mr. "
INTC,50863,INTEL CORP,1926000.0,96300,208,"an is $66,935,100, the 2019 annualtotal compensation of our median compensated employee is $96,300, ","al total compensation ofour median compensated employee of $96,300, results in a pay ratio of 208:1 "
INTU,896878,INTUIT INC,2005968.0,167164,122,"his proxy statement. The fiscal 2020 annual total compensation for our median employee was $167,164 ",determined under Item&#160;402 of Regulation&#160;S-K. The ratio of our CEO&#8217;s annualized total compensation to our median employee&#8217;s annual total compensation for fiscal 2020 is 122 to 1. 
GILD,882095,"GILEAD SCIENCES, INC.",1386112.0,173264,88,"al compensation as determined under Item 402 of Regulation S-K for our median employeewas $173,264. ",ratio between this amount and our median employee&rsquo;s2019 annual total compensation is 88 to 1. 
BA,12927,BOEING CO,1429821.0,158869,90," For 2019, the annual total compensation of our median employee (other than our CEO), was $158,869, ","n this information, we estimated that our CEO&#146;s 2019 total annualized compensation was 90 times"
CI,1739940,Cigna Corp,19261476.0,62946,306.7," $19,303,032 and our median employee&#8217;s annual        total compensation for 2019 was $62,946. "," total compensation for 2019 was $19,303,032 and our median employee&#8217;s annual        total compensation for 2019 was $62,946. Accordingly, we estimated our CEO Pay Ratio for 2019 to be 306.7:1. "
BLK,1364742,BlackRock Inc.,2405592.0,133644,182,"al compensation of our CEO: For 2019, our last completed fiscal year:  &nbsp;&#149;&nbsp; The median of the annual total compensation of all employees of our Company (other than our CEO) was $133,644;","ed in this Proxy Statement,was $24,308,254.  Based on this information, the ratio of our CEO&#146;s annual total compensation to the median of the annual total compensation ofall employees was 182:1. "
MDT,1613103,Medtronic plc,1432578.0,62286,238,"the Summary Compensation Table and the annual total compensation for our medianemployee was $62,286 ","able. For the year ended April&nbsp;24, 2020 the annual total compensation for our CEO was 238 times"
ADP,8670,AUTOMATIC DATA PROCESSING INC,1758995.0,60655,291,"ary Compensation Table total of $17,645,648, and the 2020 total of our median associate of $60,655.T","sation of our CEO, Mr. Rodriguez, compared to the annual compensation of the median associate of our workforce (not including Mr. Rodriguez). For fiscal year 2020, an estimate of this ratio is 291:1, "
AMT,1053507,AMERICAN TOWER CORP /MA/,1756860.0,62745,288,"mer CEO&#58;For 2019, our last completed fiscal year&#58;&#8226;the annual total compensation of the employee identified as the median employee of our Company (other than our former CEO), was $62,745&","r CEO was $18,095,288.Based on this information, for 2019 the ratio of the annual total compensation of Mr. Taiclet, our former CEO, to the median employee was estimated to be approximately 288 to 1.T"
ISRG,1035267,INTUITIVE SURGICAL INC,629068.0,157267,41,"CEO for 2019&#160;$6,470,374Annual total compensation of the median employee for 2019&#160;$157,267R",",470,374Annual total compensation of the median employee for 2019&#160;$157,267Ratio of annual total compensation of the CEO to the annual total compensation of the median employee for 2019&#160;41:1T"
AMAT,6951,APPLIED MATERIALS INC /DE,1358500.0,104500,135,"2019 annual total compensation of our median compensatedemployee (other than the CEO) was $104,500, ","r CEO, Mr.&nbsp;Dickerson, was $14,072,395, the fiscal 2019 annual total compensation of our median compensatedemployee (other than the CEO) was $104,500, and the ratio of these amounts was 135 to 1. "
TJX,109198,TJX COMPANIES INC /DE/,1908954.0,12006,1590,"76 as reported in the Summary Compensation Tableabove.&nbsp;In accordance with SEC rules, the median of the annual total compensation of all employees (other than the CEO) was estimated to be $12,006 ","ordance with SEC rules, the median of the annual total compensation of all employees (other than the CEO) was estimated to be $12,006 for fiscal 2020, which resulted in an estimated ratio of 1,590:1.&"
MDLZ,1103982,"Mondelez International, Inc.",1807680.0,32280,561," that our Median Employee was a part-time hourly employee with annual total compensationof $32,280. ","hich reflects compensation received for the full calendar year. Therefore, the ratio of our CEO&rsquo;sannual total compensation to the Median Employee&rsquo;s annual total compensation was 561 to 1. "
CB,896159,Chubb Ltd,20442576.0,66372,308.5,"s $20,475,070, which was approximately 308.5 times the compensation of the median employee ($66,372)","imately 308.5 times the compensation of the median employee ($66,372)calculated in the same manner. "
SYK,310764,STRYKER CORP,1486191.0,70771,212,"14,974,829.&#8226;The 2019 annual total compensation of our identified median employee was $70,771.&"," of our identified median employee was $70,771.&#8226;The ratio of the annual total compensation of our Chief Executive Officer to that of our identified median employee was estimated to be 212 to 1.T"
C,831001,CITIGROUP INC,2543424.0,52988,482," median annual total compensation of all employees of our company (other than the CEO) was $52,988, ",",414.(1)    &#9679;   Based on this information, for 2019, the ratio of the annual total compensation of our CEO to the median annual total compensation of all employees was estimated to be 482 to 1. "
EL,1001250,ESTEE LAUDER COMPANIES INC,1819377.0,28879,638,"he median of the total compensation of our employees for fiscal 2020 other than our CEO was $28,879;",ur CEO to the median of the annual total compensation of all employeesresulted in a ratio of 638:1. 
MO,764180,"ALTRIA GROUP, INC.",1422460.0,142246,109," non-cash benefits, of our CEO (Mr. Willard) was $15,439,987;   &#9632;      the annual total compensation, including non-cash benefits, of the median Altria employee (excluding our CEO) was $142,246;","benefits, of the median Altria employee (excluding our CEO) was $142,246; and   &#9632;      the ratio of our CEO&#8217;s annual total compensation to that of the median Altria employee was 109 to 1. "
GE,40545,GENERAL ELECTRIC CO,2422608.0,50471,486," CEO PAY TO MEDIAN EMPLOYEE PAY. Our median employee earned $50,471 in total compensation for 2019. ","y Compensation Table on page 38, we calculate our ratio of CEO to median employee pay was 486 to 1. "
ADI,6281,ANALOG DEVICES INC,1183263.0,62277,192,". dollars.  For fiscal 2019, the annual total compensation of the same median employee was $62,277.T"," Based on this information, the ratio of the annual total compensation of our Chief Executive Officer to the median of the annual total compensation of all other employees was approximately 192 to 1. "
MMC,62709,"MARSH & MCLENNAN COMPANIES, INC.",,67826,,"CEO (as disclosed in the 2019Summary Compensation Table in this proxy statement), as follows:  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&#9679;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Median&nbsp;employee:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; $67,826&",
NOC,1133421,NORTHROP GRUMMAN CORP /DE/,,114667,," Compensation Table on page 53. The median employee&#8217;s annual total compensation was $114,667, ",
PLD,1045609,"Prologis, Inc.",2943775.0,117751,258,"our last completed fiscal year: &nbsp;&#9632;&nbsp; the annual total compensation of the employee identified at the median of our company as ofDecember&nbsp;31, 2019 (other than the CEO) was $117,751;"," Proxy Statement, was $30,383,438.  Based on this information, the ratio of the annual total compensation ofour CEO to the median of the annual total compensation of all other employees was 258 to 1. "
SPGI,64040,S&P Global Inc.,1197980.0,27860,436,"r 2019, the median annual total compensation of all our employees (other than our CEO) was $27,860, ","                Based on this information, for 2019, the ratio of the annual total compensation of our CEO to the median annual total compensation of all other employees was estimated to be 436 to 1. "
PYPL,1633917,"PayPal Holdings, Inc.",2534580.0,70405,367,"sistent with Item 402(u) of Regulation&nbsp;S-K.  For 2019, our last completed fiscal year, the median of the annual total compensation of the Company&#146;semployees (other than our CEO) was $70,405 ","25,825,473. Based on thisinformation, for 2019, we estimate that the pay ratio of the annual total compensation of our CEO to the median of the annual total compensation of our employees is 367 to 1. "
BKNG,1075531,Booking Holdings Inc.,1462122.0,50418,293,"ogel&rsquo;s total compensation, the total compensation of our median employee in 2019 was $50,418. ","tion, the total compensation of our median employee in 2019 was $50,418. The ratio of Mr.&nbsp;Fogel&rsquo;s total 2019 compensation to the total 2019 compensation of our median employee is 293 to 1. "
AMD,2488,ADVANCED MICRO DEVICES INC,1646858.0,96874,172,"CER PAY&#160;RATIO&#160;&#160;&#160;For 2019:&#8239;&#8239;&#160;&#160;&#8226;the annual total compensation for the median employee of the Company (other than our Chief Executive Officer) was $96,874;","eers. For 2019, the ratio of the annual total compensation of our Chief Executive Officer without the Value Creation Equity Award to the annual total compensation of the median employee was 172 to 1. "
NOW,1373715,"ServiceNow, Inc.",2011986.0,223554,96," further described below.&#160;The total 2019&#32;compensation of our median employee was $223,554. ","&#160;&#160;&#160;&#160;Our CEO to median employee pay ratio for 2019&#32;is 96:1 on an annualized basis, as adjusted pursuant to Item 402(u) of Regulation S-K. The total 2019&#32;compensation of Mr. "
REGN,872589,"REGENERON PHARMACEUTICALS, INC.",2085825.0,139055,154,"atio of these two amounts.&nbsp;We have determined the total compensation of ourmedian employee (based on the 2019 annual total compensation of our employees, excluding Dr. Schleifer) to be $139,055. ","le above, was $21,455,117. Accordingly, the ratioof the 2019 annual total compensation of Dr. Schleifer to the median of the 2019 annual total compensation of our employees wasapproximately 154 to 1.&"
VRTX,875320,VERTEX PHARMACEUTICALS INC / MA,1821224.0,227653,83,"al annual compensation for Vertex&rsquo;s median employee, other than the CEO, equaled    $227,653.&","he level of responsibility of the employees.&nbsp;In 2019:&nbsp;        The ratio of total compensation for Dr. Leiden, our CEO in 2019, to our median    employee&rsquo;s total compensation was 83:1. "
DUK,1326160,Duke Energy CORP,1483296.0,123608,122,"e median of the 2019 annual total compensation of our employees, excluding our CEO, to be $123,608. "," The annual total compensation of our CEO was $15,029,386. The ratio of the annualtotal compensation of our CEO to the estimated median of the annual total compensation of our employees was 122 to 1. "
HCA,860730,"HCA Healthcare, Inc.",2632564.0,56012,478," of December&nbsp;31, 2019. The 2019 annual total compensation of the median compensated employee (of all our employees who were employed as of December&nbsp;31, 2018), other thanthe CEO, was $56,012;","loyees who were employed as of December&nbsp;31, 2018), other thanthe CEO, was $56,012; and the 2019 annual total compensation of Mr.&nbsp;Hazen was $26,788,251. The ratio of these amounts was 478:1. "
PGR,80661,PROGRESSIVE CORP/OH/,1391985.0,66285,212,"ncentive Compensation.&#8221; For 2019, our median employee's total annual compensation was $66,285 ","041,272, which results in a pay ratio of CEO compensation to median employee compensation of 212:1.G"
EOG,821189,EOG RESOURCES INC,1229767.0,175681,73,"ns; and  &nbsp;&nbsp;&#149;&nbsp; the annual total compensation of our Median Employee was $175,681 ",", for 2019 the ratio ofthe annual total compensation of our CEO to the Median Employee was 73 to 1. "
SO,92122,SOUTHERN CO,1302400.0,81400,166,"67,872. The median employee&#8217;s annual total compensation is comprised of approximately $81,400 "," Equity compensation plans not approved by security holders      n/a      n/a      n/a         (1)      Represents shares available for future issuance under the Omnibus Plan.         &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;   Pay Ratio DisclosureFor 2019, we have calculated the CEO pay ratio to be 166 to 1. "
